Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
FRA;FRA000128253;MOD;20110617;20170316;Y;128253;PV 128253;HENRI JOSPH II;PV;PORT VENDRES;Y;FGE2139;N;GNS;LLS;8.53;;6.00;6.00;6.36;;67.00;0.00;3;2003;3;14;MFL;;;;;;1990;||FRANCE;
FRA;FRA000128269;MOD;20150324;20170103;Y;128269;MA 128269;NICOLAS II;MA;MARSEILLE;N;;N;GNS;GTR;8.33;;6.51;6.51;6.68;;44.00;0.00;3;2014;2;19;MFL;;;;;;1970;BOTAED BOAT DANEMARK|DANEMARK|DANEMARK;
FRA;FRA000129399;MOD;20130628;21001231;Y;129399;IO 129399;LE DAHLIA;IO;ÎLE D'OLERON;Y;FP4290;N;OTB;GTR;11.88;;12.00;12.00;8.99;;73.00;0.00;1;1975;7;28;MFL;;;;;;1972;||FRANCE;
FRA;FRA000129612;MOD;20140923;20171012;Y;129612;PV 129612;EMILIE;PV;PORT VENDRES;Y;FAC2423;N;GNS;LLS;5.65;;0.95;0.95;1.45;;15.00;0.00;1;1981;4;15;MFL;;;;;;1971;||FRANCE;
FRA;FRA000133245;MOD;20150913;20170626;Y;133245;MA 133245;AMIGO;MA;MARSEILLE;Y;FL7370;N;GNS;LLS;8.02;;2.38;2.38;2.84;;62.00;0.00;1;1988;11;4;MFL;;;;;;1964;FIUMICINO|ITALIE|FRANCE;
FRA;FRA000133892;MOD;20040101;21001231;Y;133892;TL 133892;MARIUS ELISE;TL;TOULON;Y;FV7643;N;GNS;GTR;9.00;;3.77;3.77;5.01;;74.00;0.00;1;1979;1;17;MFL;;;;;;1972;FRANCE;
FRA;FRA000133992;MOD;20060316;20170801;Y;133992;MA 133992;SAINTE ANNY;MA;MARSEILLE;Y;FL2618;N;GNS;GTR;9.00;;2.93;2.93;5.52;;33.00;0.00;1;1988;2;10;MFL;;;;;;1968;FRANCE;
FRA;FRA000134011;MOD;20140417;21001231;Y;134011;PV 134011;CANIGOU;PV;PORT VENDRES;Y;FJ9499;N;GTR;LLS;8.00;;2.36;2.36;3.88;;89.00;0.00;1;1975;8;8;MFL;;;;;;1965;||FRANCE;
FRA;FRA000136794;MOD;20150108;21001231;Y;136794;MA 136794;ANDIAMO 2;MA;MARSEILLE;Y;FH7994;N;GNS;GTR;9.00;;3.20;3.20;5.60;;66.00;0.00;1;1983;7;5;MFL;;;;;;1967;P.GATTO LA MEDE FRANCE|P.GATTO LA MEDE|FRANCE;
FRA;FRA000139642;MOD;20040101;21001231;Y;139642;ST 139642;ROGER FIFI;ST;SÉTE;N;;N;GNS;GTR;6.30;;1.66;1.66;4.08;;128.00;0.00;3;1983;7;30;MFL;;;;;;1968;FRANCE;
