Load_ind;Definition Year;Species Code;Species Name;Area Code;Area Description;Level Code;Level Description;Initial Quantity;Adapted Quota;Eurlex Ref;OJ Ref;Publication Date;Page Number;In regulation;Compute uptake;StockID;%ECTAC
INIV;2015;ALF;Alfonsinos nei;*F47NA;SEAFO Sub-division B1;TAC;;0;132;;;;;N;Y;ALF*F47NA;0%
INIV;2015;ALF;Alfonsinos nei;3X14-;EU and international waters of III, IV, V, VI, VII, VIII, IX, X, XII and XIV;ESP;Spain;67;80.045;32014R1367;L366;20/12/2014;8;Y;Y;ALF3X14-;23%
INIV;2015;ALF;Alfonsinos nei;3X14-;EU and international waters of III, IV, V, VI, VII, VIII, IX, X, XII and XIV;FRA;France;18;20.112;32014R1367;L366;20/12/2014;8;Y;Y;ALF3X14-;6%
INIV;2015;ALF;Alfonsinos nei;3X14-;EU and international waters of III, IV, V, VI, VII, VIII, IX, X, XII and XIV;GBR;U.K. of Great Britain and Northern Ireland;9;1.011;32014R1367;L366;20/12/2014;8;Y;Y;ALF3X14-;3%
INIV;2015;ALF;Alfonsinos nei;3X14-;EU and international waters of III, IV, V, VI, VII, VIII, IX, X, XII and XIV;IRL;Ireland;9;0;32014R1367;L366;20/12/2014;8;Y;Y;ALF3X14-;3%
INIV;2015;ALF;Alfonsinos nei;3X14-;EU and international waters of III, IV, V, VI, VII, VIII, IX, X, XII and XIV;PRT;Portugal;193;198.284;32014R1367;L366;20/12/2014;8;Y;Y;ALF3X14-;65%
INIV;2015;ALF;Alfonsinos nei;3X14-;EU and international waters of III, IV, V, VI, VII, VIII, IX, X, XII and XIV;EEC;;296;299.452;32014R1367;L366;20/12/2014;8;Y;Y;ALF3X14-;100%
INIV;2015;ALF;Alfonsinos nei;3X14-;EU and international waters of III, IV, V, VI, VII, VIII, IX, X, XII and XIV;TAC;;296;296;32014R1367;L366;20/12/2014;8;Y;Y;ALF3X14-;100%
INIV;2015;ALF;Alfonsinos nei;SEAFO;SEAFO area;EEC;;0;0;32015R0104;L22;28/01/2015;121;N;N;ALFSEAFO;0%
INIV;2015;ALF;Alfonsinos nei;SEAFO;SEAFO area;TAC;;200;200;32015R0104;L22;28/01/2015;121;Y;Y;ALFSEAFO;0%
INIV;2015;ALF;Alfonsinos nei;XDS;NEAFC Stock - Deep Sea Fisheries;BEL;Belgium;0;0;32010R1236;L347;21/12/2010;31;Y;N;ALFXDS;0%
INIV;2015;ALF;Alfonsinos nei;XDS;NEAFC Stock - Deep Sea Fisheries;BGR;Bulgaria;0;0;32010R1236;L347;21/12/2010;31;Y;N;ALFXDS;0%
INIV;2015;ALF;Alfonsinos nei;XDS;NEAFC Stock - Deep Sea Fisheries;CYP;Cyprus;0;0;32010R1236;L347;21/12/2010;31;Y;N;ALFXDS;0%
