region;sppName;latinName;stockID;area;areaBis;TAC area description
North Atlantic;Blue ling;Molva dypterygia;BLI5B67-;all areas, excluding X;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_12,27_14;EU waters of IIa, IV, Vb, VI and VII
North Atlantic;Spanish ling;Molva macrophthalma;No TAC;X;27_10;
North Atlantic;Ling;Molva molva;LIN6X14.;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;VI, VII, VIII, IX, X, XII, XIV  (1) (2)
North Atlantic;Striped red mullet;Mullus surmuletus;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;
North Atlantic;Starry smooth-hound;Mustelus asterias;No TAC;VI, VII, VIII, IX;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9;
North Atlantic;Smooth-hound;Mustelus mustelus;PHOXDS;VI, VII, VIII, IX;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9;Not sure of the species code
North Atlantic;Blackspotted smooth-hound;Mustelus punctulatus;No TAC;VI, VII, VIII, IX;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9;
North Atlantic;Norway lobster;Nephrops norvegicus;NEP5BC6.;VI Fuctional unit 11;nep-11;Vb) (1), VI
North Atlantic;Norway lobster;Nephrops norvegicus;NEP5BC6.;VI Fuctional unit 12;nep-12;Vb) (1), VI
North Atlantic;Norway lobster;Nephrops norvegicus;NEP5BC6.;VI Fuctional unit 13;nep-13;Vb) (1), VI
North Atlantic;Norway lobster;Nephrops norvegicus;NEP07.;VII Functional unit 14;nep-14;VII
North Atlantic;Norway lobster;Nephrops norvegicus;NEP07.;VII Functional unit 15;nep-15;VII
North Atlantic;Norway lobster;Nephrops norvegicus;NEP*07U16;VII Functional unit 16 (TAC FU16);27_7_C,27_C_K;Porcupine Bank – Unit 16
North Atlantic;Norway lobster;Nephrops norvegicus;NEP07.;VII Functional unit 17;nep-17;VII
North Atlantic;Norway lobster;Nephrops norvegicus;NEP07.;VII Functional unit 18 (TAC VII);27_7_B;VII
North Atlantic;Norway lobster;Nephrops norvegicus;NEP07.;VII Functional unit 19 (TAC VII);27_7_G,27_7_J;VII
North Atlantic;Norway lobster;Nephrops norvegicus;NEP07.;VII Functional unit 20-21 (TAC VII);27_7_H,27_7_G;VII
North Atlantic;Norway lobster;Nephrops norvegicus;NEP07.;VII Functional unit 22;nep-22;VII
North Atlantic;Norway lobster;Nephrops norvegicus;NEP8ABDE.;VIII, IX Functional unit 23, 24;27_8_A,27_8_B;VIIIa),b),d),e)
North Atlantic;Norway lobster;Nephrops norvegicus;NEP08C.;VIII, IX Functional unit 25, 31;27_8_C;ICES division VIIIc - Bay of Biscay - South
North Atlantic;Norway lobster;Nephrops norvegicus;NEP*9U267;VIII, IX Functional unit 26-27, 28-29, 30;27_9_A;Functional Units 26 and 27 of ICES division IXa
North Atlantic;Common octopus;Octopus vulgaris;No TAC;all areas, excluding VIIIc, IXa;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D,27_8_E,27_9_B,27_10,27_12,27_14;
North Atlantic;Common octopus;Octopus vulgaris;No TAC;VIIIc, IXa;27_8_C,27_9_A;
North Atlantic;Blackspot sea bream;Pagellus bogaraveo;SBR09-,SBR10-;IXa, X;27_9_A,27_10;
North Atlantic;Pandalid shrimps;Pandalus spp.;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;
North Atlantic;Deepwater rose shrimp;Parapenaeus longirostris;No TAC;IXa;27_9_A;
North Atlantic;Greater Forkbeard;Phycis blennoides;GFB567-,GFB89-,GFB1012-;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Should we add areas 1, II, III and IV? There also other TAC codes looking redundant??
North Atlantic;Forkbeard;Phycis phycis;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;
North Atlantic;Plaice;Pleuronectes platessa;PLE07A.;VIIa;27_7_A;ICES division VIIa - Irish Sea
North Atlantic;Plaice;Pleuronectes platessa;PLE7DE.;VIIe;27_7_E;VIId),e)
North Atlantic;Plaice;Pleuronectes platessa;PLE7FG.;VIIfg;27_7_F,27_7_G;VIIf),g)
North Atlantic;Plaice;Pleuronectes platessa;PLE7BC.;VIIbc;27_7_B,27_7_C;VIIb),c)
North Atlantic;Plaice;Pleuronectes platessa;PLE7HJK.;VIIh-k;27_7_H,27_7_J,27_7_K;VIIh),j),k)
North Atlantic;Plaice;Pleuronectes platessa;PLE8/3411;VIII, IX, X;27_8,27_9,27_10;"VIII,IX,X;COPACE 34.1.1(1)"
North Atlantic;Pollack;Pollachius pollachius;VII,POL08C.,POL56-14,POL8ABDE.;all areas except IX, X;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_12,27_14;Should it be a general rule to include all the codes?
North Atlantic;Pollack;Pollachius pollachius;POL9/3411;IX, X;27_9,27_10;
North Atlantic;Saithe;Pollachius virens;No TAC;Va;27_5_A;
North Atlantic;Saithe;Pollachius virens;POK05B-F.;Vb;27_5_B;??
North Atlantic;Saithe;Pollachius virens;2A34.;IV, IIIa, VI;27_4_27_3_A,27_6;EU waters of IV and in IIIa
North Atlantic;Saithe;Pollachius virens;POK7/3411;VII, VIII;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8;"VII,VIII,IX,X;COPACE 34.1.1(1)"
North Atlantic;Wreckfish;Polyprion americanus;WRFXDS;X;27_10;NEAFC Stock - Deep Sea Fisheries
North Atlantic;Turbot;Psetta maxima;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;
North Atlantic;Greenland halibut;Reinhardtius hippoglossoides;GHL514GRN;V, XIV;27_5,27_14;Greenland zone: V & XIV
North Atlantic;Greenland halibut;Reinhardtius hippoglossoides;GHL2A-C46;VI;27_6;EU waters of IIa and VI. In VI
North Atlantic;Atlantic halibut;Hippoglossus hippoglossus;HAL514GRN;V, XIV;27_5,27_14;
North Atlantic;Salmon;Salmo salar;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;
North Atlantic;Sardine;Sardina pilchardus;No TAC;VIIIabd;27_8_A,27_8_B,27_8_D;
North Atlantic;Sardine;Sardina pilchardus;No TAC;VIIIc, IXa;27_8_C,27_9_A;
North Atlantic;Spanish mackerel;Scomber colias;No TAC;VIII, IX, X;27_8,27_9,27_10;
North Atlantic;Mackerel;Scomber scombrus;MAC2CX14-;II, IIIa, IV, V, VI, VII, VIII, IX;27_2,27_3_A,27_4,27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9;VI,VII,VIIIa),b),d),e), EC waters of Vb, international waters of IIa, XII and XIV
North Atlantic;Brill;Scophthalmus rhombus;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;
North Atlantic;Golden Redfish;Sebastes marinus;REGXXX;ICES Sub areas V, VI, XII, XIV & NAFO SA 2 + (Div. 1F + 3K).;27_5,27_6,27_12,27_14,21_1;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures
North Atlantic;Deep sea Redfish;Sebastes mentella;REBXXX;ICES Sub areas V, VI, XII, XIV & NAFO SA 2 + (Div. 1F + 3K);27_5,27_6,27_12,27_14,21_1;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures
North Atlantic;Cuttlefish;Sepia officinalis;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;
North Atlantic;Sole;Solea solea;SOL07A.;VIIa;27_7_A;
North Atlantic;Sole;Solea solea;SOL7FG.;VIIfg;27_7_F,27_7_G;
North Atlantic;Sole;Solea solea;SOL7BC.;VIIbc;27_7_B,27_7_C;
North Atlantic;Sole;Solea solea;SOL7HJK.;VIIhjk;27_7_H,27_7_J,27_7_K;
North Atlantic;Sole;Solea solea;No TAC;Ixa;27_9_A;
North Atlantic;Sole;Solea solea;No TAC;VIIIc;27_8_C;
North Atlantic;Sole;Solea solea;SOL07E.;VIIe;27_7_E;
North Atlantic;Sole;Solea solea;SOL8AB.;VIIIab;27_8_A,27_8_B;
North Atlantic;Sea breams (in plural);Sparidae;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;
North Atlantic;Mediterranean horse mackerel;Trachurus mediterraneus;No TAC;VIII, IX;27_8,27_9;
North Atlantic;Blue jack mackerel;Trachurus picturatus;JAX08C.,JAX09.,JAXX34PRT;VIII, IX, X;27_8,27_9,27_10;TAC = Jack + horse mackerel nei?
North Atlantic;Horse mackerel;Trachurus trachurus;JAX2A-14;IIa, IVa, Vb, VIa, VIIa-c, e-k, VIIIabde;27_2_A,27_4_A,27_5_B,27_6_A,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D,27_8_E;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures
North Atlantic;Horse mackerel;Trachurus trachurus;JAXX34PRT;X;27_10;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures
North Atlantic;Horse mackerel;Trachurus trachurus;JAX08C.,JAX09.;VIIIc, IXa;27_8_C,27_9_A;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures
North Atlantic;Pouting;Trisopterus spp.;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;
North Atlantic;John Dory;Zeus faber;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;
Mediterranean and Black Sea;European Eel;Anguilla anguilla;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Giant red shrimp;Aristeomorpha foliacea;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Red shrimp;Aristeus antennatus;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Bogue;Boops boops;No TAC;1.3, 2.1, 2.2, 3.1, 3.2;1.3, 2.1, 2.2, 3.1, 3.2;
Mediterranean and Black Sea;Dolphinfish;Coryphaena equiselis;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Dolphinfish;Coryphaena hippurus;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Sea bass;Dicentrarchus labrax;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Horned/curled octopus;Eledone cirrhosa;No TAC;1.1, 1.3, 2.1, 2.2, 3.1;1.1, 1.3, 2.1, 2.2, 3.1;
Mediterranean and Black Sea;Musky octopus;Eledone moschata;No TAC;1.3, 2.1, 2.2, 3.1;1.3, 2.1, 2.2, 3.1;
Mediterranean and Black Sea;Anchovy;Engraulis encrasicolus;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Anchovy;Engraulis encrasicolus;No TAC;Black Sea GSA 29;Black Sea GSA 29;
Mediterranean and Black Sea;Grey gurnard;Eutrigla gurnardus;No TAC;2.2, 3.1;2.2, 3.1;
Mediterranean and Black Sea;Squid;Illex spp., Todarodes spp.;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Billfish;Istiophoridae;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Common squid;Loligo vulgaris;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Black-bellied angler;Lophius budegassa;No TAC;1.1, 1.2, 1.3, 2.2, 3.1;1.1, 1.2, 1.3, 2.2, 3.1;
Mediterranean and Black Sea;Anglerfish;Lophius piscatorius;No TAC;1.1, 1.2, 1.3, 2.2, 3.1;1.1, 1.2, 1.3, 2.2, 3.1;
Mediterranean and Black Sea;Whiting;Merlangius merlangus;No TAC;Black Sea GSA 29;Black Sea GSA 29;
Mediterranean and Black Sea;Hake;Merluccius merluccius;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Blue whiting;Micromesistius poutassou;No TAC;1.1, 3.1;1.1, 3.1;
Mediterranean and Black Sea;Grey mullets;Mugilidae;No TAC;1.3, 2.1, 2.2, 3.1;1.3, 2.1, 2.2, 3.1;
Mediterranean and Black Sea;Red mullet;Mullus barbatus;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Red mullet;Mullus barbatus;No TAC;Black Sea GSA 29;Black Sea GSA 29;
Mediterranean and Black Sea;Striped red mullet;Mullus surmuletus;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Common octopus;Octopus vulgaris;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Norway lobster;Nephrops norvegicus;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Pandora;Pagellus erythrinus;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Deepwater rose shrimp;Parapenaeus longirostris;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Caramote prawn;Penaeus kerathurus;No TAC;3,1;3,1;
Mediterranean and Black Sea;Turbot;Psetta maxima;TURF3742C;Black Sea GSA 29;Black Sea GSA 29;Black Sea (Division 37.4.2) - EU waters
Mediterranean and Black Sea;Sardine;Sardina pilchardus;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Mackerel;Scomber spp.;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Cuttlefish;Sepia officinalis;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Sole;Solea vulgaris;No TAC;1.2, 2.1, 3.1;1.2, 2.1, 3.1;
Mediterranean and Black Sea;Gilthead sea bream;Sparus aurata;No TAC;1.2, 3.1;1.2, 3.1;
Mediterranean and Black Sea;Picarels;Spicara smaris;No TAC;2.1, 3.1, 3.2;2.1, 3.1, 3.2;
Mediterranean and Black Sea;Sprat;Sprattus sprattus;No TAC;Black Sea GSA 29;Black Sea GSA 29;
Mediterranean and Black Sea;Mantis shrimp;Squilla mantis;No TAC;1.3, 2.1, 2.2;1.3, 2.1, 2.2;
Mediterranean and Black Sea;Mediterranean horse mackerel;Trachurus mediterraneus;No TAC;All areas in the Med;All areas in the Med;
Mediterranean and Black Sea;Mediterranean horse mackerel;Trachurus mediterraneus;No TAC;Black Sea GSA 29;Black Sea GSA 29;
Mediterranean and Black Sea;Horse mackerel;Trachurus trachurus;No TAC;all areas in the Med;all areas in the Med;
Mediterranean and Black Sea;Horse mackerel;Trachurus trachurus;No TAC;Black Sea GSA 29;Black Sea GSA 29;
Mediterranean and Black Sea;Tub gurnard;Trigla lucerna;No TAC;1.3, 2.2, 3.1;1.3, 2.2, 3.1;
Mediterranean and Black Sea;Clam;Veneridae;No TAC;2.1, 2.2;2.1, 2.2;
Mediterranean and Black Sea;Transparent gobid;Aphia minuta;No TAC;GSA 9,10,16 and 19;GSA 9,10,16 and 19;
Mediterranean and Black Sea;Sand smelt;Atherina spp;No TAC;GSA 9,10,16 and 19;GSA 9,10,16 and 19;
Mediterranean and Black Sea;Poor cod;Trisopterus minutus;No TAC;All Regions;All Regions;
